"","year","payroll_DB_legacy_est","payroll_DB_new_est","payroll_CB_new_est","payroll_est","nc_rate_DB_legacy_est","nc_rate_DB_new_est","nc_rate_CB_new_est","PVFB_DB_legacy_est","PVFB_DB_new_est","PVFB_CB_new_est","PVFNC_DB_legacy_est","PVFNC_DB_new_est","PVFNC_CB_new_est","n.active","nc_rate_est","AAL_active_DB_legacy_est","AAL_active_DB_new_est","AAL_active_CB_new_est","AAL_term_DB_legacy_est","AAL_term_DB_new_est","AAL_term_CB_new_est","refund_DB_legacy_est","refund_DB_new_est","refund_CB_new_est","retire_ben_DB_legacy_est","retire_ben_DB_new_est","retire_ben_CB_new_est","AAL_retire_DB_legacy_est","AAL_retire_DB_new_est","AAL_retire_CB_new_est","retire_ben_current_est","AAL_retire_current_est","retire_ben_term_est","AAL_term_current_est","AAL_legacy_est","AAL_new_est","AAL_est","tot_ben_refund_legacy_est","tot_ben_refund_new_est","tot_ben_refund_est","liability_gain_loss_legacy_est","liability_gain_loss_new_est","liability_gain_loss_est","AAL_legacy_roll","AAL_new_roll","AAL_roll"
"1",2022,50814793872,0,0,50814793872,0.120590830225595,0,0,169611051080.672,0,0,56439839145.5283,0,0,927667,0.120590830225595,113171211935.144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13260988197,117974603393.339,0,14415151022,245560966350.483,0,245560966350.483,13260988197,0,13260988197,0,0,0,245560966350.483,0,245560966350.483
"2",2023,49405484393.0018,2882714899.22332,0,52288199292.2251,0.120282693621022,0.121043478092447,0,173645975178.683,3351366112.64965,0,54262829704.9483,3351366112.64965,0,927667,0.120324636636092,119383145473.735,0,0,210332199.565207,0,0,824566363.445657,0,0,583451331.551926,0,0,6219499583.07367,0,0,12955736783.9104,113277088846.963,688650109.59959,14735561483.9404,253825627587.277,0,253825627587.277,15052404588.5076,0,15052404588.5076,0,0,0,253825627587.277,0,253825627587.277
"3",2024,48005084406.4483,5758101595.67096,0,53763186002.1193,0.119968237474185,0.12113043971303,0,175876250366.042,7122751474.60289,0,52118603041.8531,6806798432.08821,0,927667,0.12009271072556,123757647324.189,315953042.514681,0,457630323.767511,0,0,832814558.757442,32980795.2362261,0,1327584519.12474,0,0,14186833680.9225,0,0,12642538171.3038,108563946894.946,708620962.777979,15058429825.0383,262024488048.864,315953042.514681,262340441091.378,15511558211.9639,32980795.2362261,15544539007.2002,0,0,0,262024488048.864,315953042.514682,262340441091.378
"4",2025,46848614021.9904,8462876868.73858,0,55311490890.729,0.119691947041954,0.121218281061729,0,178673503094.868,11154965791.73,0,50007819888.7417,10204951846.7659,0,927667,0.119925482183782,128665683206.126,950013944.964115,0,589477246.337901,0,0,627246932.106514,85537188.7225199,0,2061463871.2578,0,0,21905473232.1134,0,0,12320787572.3213,103842635605.271,729170970.69854,15383348942.0924,270386618231.941,950013944.964115,271336632176.905,15738669346.3842,85537188.7225199,15824206535.1067,0,0,0,270386618231.941,950013944.964115,271336632176.905
"5",2026,45449046172.3507,11390131870.6866,0,56839178043.0373,0.119073015240728,0.121313841579995,0,179120406006.356,15859950005.0831,0,47900965452.4446,13964762807.8006,0,927667,0.119522059515862,131219440553.912,1895187197.28252,0,867927388.626376,0,0,589012981.701847,147183110.694642,0,2997125985.15236,0,0,31675772961.6146,0,0,11990266981.7491,99121353115.891,750316928.848798,15709866439.1901,278594360459.234,1895187197.28252,280489547656.516,16326722877.4521,147183110.694642,16473905988.1467,0,0,0,278594360459.234,1895187197.28252,280489547656.516
"6",2027,44320643242.1007,14131192479.8968,0,58451835721.9975,0.118549686896918,0.121404324556832,0,180618416036.564,20767453364.3514,0,45842278066.5589,17571009455.6206,0,927667,0.119239818074739,134776137970.005,3196443908.73087,0,1198241359.79744,0,0,605355030.648176,213187045.697155,0,3839676073.2604,0,0,40218905301.2895,0,0,11650959273.9491,94408888560.0542,772076119.785413,16037480970.148,286639654161.294,3196443908.73087,289836098070.025,16868066497.6431,213187045.697155,17081253543.3403,0,0,0,286639654161.294,3196443908.73087,289836098070.025
"7",2028,43408759317.4905,16725517613.933,0,60134276931.4235,0.118105373267374,0.121492616978356,0,182936283324.18,25900147042.7548,0,43797039151.7969,21052320515.3689,0,927667,0.11904748826803,139139244172.383,4847826527.38588,0,1432506042.96474,8086843.35500764,0,577586871.192776,260357920.319595,0,4627470181.82926,1597473.43320559,0,48004205666.3197,17914096.0528045,0,11302966553.1854,89714544206.0726,794466327.25919,16365638310.7991,294656138398.539,4873827466.7937,299529965865.333,17302489933.4666,261955393.752801,17564445327.2194,0,0,0,294656138398.539,4873827466.79369,299529965865.333
"8",2029,42122555516.874,19586937329.0245,0,61709492845.8985,0.117601790422337,0.121591790513654,0,182581225589.563,31711632966.8492,0,41736024170.1569,24861776948.8831,0,927667,0.118868238712984,140845201419.406,6849856017.96616,0,1709208382.22157,26300396.2091018,0,594178241.754788,307268911.763692,0,5628299230.15693,5398473.03588198,0,58126193242.1101,58198495.7287166,0,10946460667.3129,85048101633.1849,817505850.749706,16693727141.8054,302422431818.728,6934354909.90398,309356786728.632,17986443989.9743,312667384.799574,18299111374.7739,0,0,0,302422431818.728,6934354909.90398,309356786728.632
"9",2030,41025568381.5597,22357616805.4388,0,63383185186.9985,0.117153279914482,0.121688112789804,0,182880958201.961,37823775097.263,0,39703857916.1192,28567427953.2368,0,927667,0.11875288484762,143177100285.842,9256347144.02617,0,1417006872.34972,56083792.2450636,0,491020030.337093,356570576.572272,0,6619028408.93551,11468733.608145,0,67977777605.2845,120900287.660442,0,10581654770.8874,80419813976.6204,841213520.421447,17021074521.3103,310012773261.406,9433331223.93168,319446104485.338,18532916730.5815,368039310.180417,18900956040.7619,0,0,0,310012773261.406,9433331223.93166,319446104485.338
"10",2031,39421654385.971,25599414852.0626,0,65021069238.0336,0.116037216026382,0.121792671692783,0,180008913671.803,44896982892.6764,0,37676848073.992,32815957651.5105,0,927667.000000001,0.118303193793181,142332065597.811,12081025241.1659,0,1741623866.39358,100071275.871282,0,461269813.784929,404461209.646831,0,7853964922.29321,20098107.7456126,0,79869272392.892,208664770.708693,0,10208841469.4547,75840359485.5291,865608712.513669,17346941025.2884,317130262367.914,12389761287.7459,329520023655.66,19389684918.0465,424559317.392443,19814244235.4389,0,0,0,317130262367.914,12389761287.7459,329520023655.66
